2022-01-27 21:22:44,055 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-27 21:22:44,061 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2022-01-27 21:22:44,061 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-27 21:22:44,061 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\libreria\libjpa\src\test\resources
2022-01-27 21:24:10,964 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-27 21:24:10,974 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2022-01-27 21:24:10,980 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-27 21:24:10,984 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\libreria\libjpa\src\test\resources
2022-01-27 21:24:48,611 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-27 21:24:48,627 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2022-01-27 21:24:48,627 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-27 21:24:48,627 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\libreria\libjpa\src\test\resources
2022-01-28 10:26:16,528 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-28 10:26:16,544 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2022-01-28 10:26:16,559 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-28 10:26:16,559 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\libreria\libjpa\src\test\resources
